,Piłkarz,Wiek,Narodowość,Pozycja,Poz,Wartość rynkowa,Klub pozyskujący/oddający państwo,Klub pozyskujący/oddający nazwa,Kwota odstępnego,Rodzaj transferu,Dotyczy klubu,Sezon
1839,Carlos MerinoC. Merino,30,Hiszpania,Ofensywny pomocnik,OPM,600 tys. €,-,Bez klubu,-,Kupno,FC Wacker Innsbruck,2010/2011
1840,Fabian KochF. Koch,21,Austria,Prawy obrońca,POB,550 tys. €,Austria,Austria Wiedeń,300 tys. €,Sprzedaż,FC Wacker Innsbruck,2010/2011
1841,Ulrich WinklerU. Winkler,25,Austria,Środkowy obrońca,ŚOB,300 tys. €,Austria,LASK,Bez odstępnego,Sprzedaż,FC Wacker Innsbruck,2010/2011
1842,Mathias GstreinM. Gstrein,22,Austria,Środkowy napastnik,ŚNP,50 tys. €,Austria,WSG Wattens,Bez odstępnego,Sprzedaż,FC Wacker Innsbruck,2010/2011
1843,Mario SaraM. Sara,28,Austria,Środkowy obrońca,ŚOB,325 tys. €,Szwajcaria,FC Vaduz,Bez odstępnego,Sprzedaż,FC Wacker Innsbruck,2010/2011
1844,Markus UnterrainerM. Unterrainer,29,Austria,Środkowy napastnik,ŚNP,150 tys. €,Austria,FC Kufstein,Bez odstępnego,Sprzedaż,FC Wacker Innsbruck,2010/2011
1845,Andreas SchrottA. Schrott,29,Austria,Środkowy obrońca,ŚOB,250 tys. €,Austria,USK Anif,Bez odstępnego,Sprzedaż,FC Wacker Innsbruck,2010/2011
1846,Hannes OberortnerH. Oberortner,21,Austria,Lewy obrońca,LOB,-,Austria,Reichneau,Bez odstępnego,Sprzedaż,FC Wacker Innsbruck,2010/2011
1847,MossoróMossoró,25,Brazylia,Środkowy napastnik,ŚNP,200 tys. €,-,Bez klubu,-,Sprzedaż,FC Wacker Innsbruck,2010/2011
1848,Matthias MaakM. Maak,18,Austria,Środkowy obrońca,ŚOB,50 tys. €,Austria,Wienerberg,Bez odstępnego,Kupno,SC Magna Wiener Neustadt,2010/2011
1849,Andreas SchickerA. Schicker,23,Austria,Lewy obrońca,LOB,300 tys. €,Austria,Admira Wacker,Bez odstępnego,Kupno,SC Magna Wiener Neustadt,2010/2011
1850,Michael MadlM. Madl,22,Austria,Środkowy obrońca,ŚOB,250 tys. €,Austria,Austria Wiedeń,Bez odstępnego,Kupno,SC Magna Wiener Neustadt,2010/2011
1851,Edin SalkicE. Salkic,21,Austria,Środkowy napastnik,ŚNP,100 tys. €,Austria,Sturm Graz,?,Kupno,SC Magna Wiener Neustadt,2010/2011
